# Residuals         
# Time              	p_rgh               	k                   	omega               
524.1325824007      	4.408095989160e-05	7.455584354862e-07	7.338473829267e-08
524.1355824007      	4.407554496583e-05	7.507021492524e-07	7.504177591981e-08
524.1385824007      	4.415558472163e-05	7.616436688661e-07	7.476243226498e-08
524.1415824007      	4.408181153458e-05	7.643800436404e-07	7.407762744466e-08
524.1445824007      	4.401477266002e-05	7.603052373127e-07	7.395525247286e-08
524.1475824007      	4.401073595560e-05	7.542260844559e-07	7.411245813801e-08
524.1505824007      	4.392389825638e-05	7.498665699194e-07	7.537413312992e-08
524.1535824007      	4.382983727606e-05	7.548514088361e-07	7.470947565287e-08
524.1565824007      	4.353136698931e-05	7.632025135197e-07	7.477681849379e-08
524.1595824007      	4.324190751698e-05	7.587552575330e-07	7.398143186605e-08
524.1625824007      	4.305578556668e-05	7.584092237365e-07	7.464514264422e-08
524.1655824007      	4.299914966112e-05	7.554066626361e-07	7.505076953711e-08
524.1685824007      	4.298621711772e-05	7.495375081680e-07	7.490521716002e-08
524.1715824007      	4.288153509932e-05	7.493423875534e-07	7.359060857377e-08
524.1745824007      	4.287216283305e-05	7.586761447717e-07	7.391633496828e-08
524.1775824007      	4.278815993000e-05	7.681218315297e-07	7.464416752192e-08
524.1805824007      	4.246089733887e-05	7.656981389385e-07	7.466960940240e-08
524.1835824007      	4.249528210216e-05	7.501797346024e-07	7.495898305867e-08
524.1865824007      	4.252321781180e-05	7.454920947480e-07	7.376002364671e-08
524.1895824007      	4.247244506320e-05	7.632032912729e-07	7.688621139917e-08
524.1925824007      	4.233885902067e-05	7.639969221819e-07	7.537433820711e-08
524.1955824007      	4.255090900053e-05	7.564330201203e-07	7.462675701686e-08
524.1985824007      	4.254774025279e-05	7.561179881571e-07	7.449813964362e-08
524.2015824007      	4.234111219673e-05	7.622257524094e-07	7.450994346372e-08
524.2045824007      	4.246502882775e-05	7.614756973379e-07	7.356637922731e-08
524.2075824007      	4.249973803839e-05	7.555299801445e-07	7.399327287099e-08
524.2105824007      	4.236153401883e-05	7.560956309968e-07	7.445716684810e-08
524.2135824007      	4.182661161908e-05	7.610108049640e-07	7.477517274093e-08
524.2165824007      	4.196630745808e-05	7.649175135720e-07	7.457928805742e-08
524.2195824007      	4.212049190234e-05	7.529009374524e-07	7.444919365120e-08
524.2225824007      	4.204837991781e-05	7.546992398912e-07	7.405223502576e-08
524.2255824007      	4.200518797081e-05	7.683589491903e-07	7.458872812964e-08
524.2285824007      	4.201223387519e-05	7.601163028955e-07	7.351362801296e-08
